STATION CODE,Grade
1312.0,F
2177.0,F
2182.0,F
2179.0,F
2183.0,F
2181.0,F
2180.0,E
1096.0,D
1211.0,E
1095.0,B
2160.0,E
2158.0,E
2159.0,F
2161.0,F
12.0,F
1209.0,E
2157.0,F
2360.0,B
2361.0,F
2362.0,F
2363.0,F
2364.0,F
2356.0,F
2365.0,D
2366.0,D
13.0,F
2367.0,C
2368.0,D
2369.0,C
2370.0,C
1218.0,B
2371.0,C
1062.0,C
2488.0,C
2489.0,C
1145.0,D
2490.0,C
1063.0,C
1066.0,D
1146.0,D
1067.0,D
1068.0,E
1147.0,D
2498.0,D
1046.0,E
2487.0,E
1049.0,F
2485.0,C
2486.0,D
1070.0,C
1071.0,F
1073.0,F
2502.0,B
1074.0,C
2551.0,D
1077.0,C
2556.0,C
2564.0,C
2552.0,D
1079.0,D
2555.0,C
2553.0,C
1817.0,C
1815.0,D
1818.0,C
2554.0,C
1819.0,D
1816.0,D
3113.0,C
3114.0,C
3115.0,C
3116.0,C
3117.0,C
3118.0,C
3122.0,D
3123.0,C
1080.0,F
2511.0,F
2506.0,F
1054.0,F
1472.0,F
1053.0,F
1471.0,F
1470.0,F
1052.0,F
1469.0,F
1260.0,E
1030.0,E
1262.0,F
1526.0,F
1031.0,F
1299.0,E
2069.0,F
2064.0,F
2067.0,E
2066.0,F
1194.0,F
36.0,E
1906.0,B
1310.0,B
2187.0,F
2188.0,F
2190.0,E
1182.0,C
1889.0,C
1181.0,C
1170.0,C
1028.0,C
2781.0,C
1175.0,C
1465.0,C
1786.0,C
1787.0,C
25.0,C
3083.0,C
1782.0,C
1553.0,A
1554.0,A
2495.0,F
2494.0,F
2493.0,F
1069.0,E
1893.0,C
1199.0,C
1166.0,C
1165.0,F
2778.0,E
1196.0,D
2772.0,C
1207.0,B
1197.0,C
41.0,C
1445.0,C
2775.0,C
1208.0,B
1201.0,D
1204.0,D
1321.0,D
1205.0,D
3019.0,D
3020.0,D
3021.0,D
1510.0,A
2620.0,A
2626.0,A
2627.0,A
2621.0,A
2622.0,A
2623.0,A
2617.0,A
2618.0,A
2619.0,A
1358.0,F
1357.0,E
1143.0,B
1735.0,F
1356.0,D
2955.0,B
1288.0,A
1289.0,C
1413.0,B
2954.0,B
1367.0,F
2953.0,B
2956.0,B
2117.0,F
2950.0,A
2952.0,E
2946.0,B
1947.0,D
2229.0,C
2231.0,C
2232.0,C
2233.0,E
2234.0,E
2236.0,C
2238.0,C
2239.0,F
2240.0,C
2241.0,E
2242.0,E
2523.0,F
2524.0,D
2235.0,E
1064.0,D
1065.0,D
2482.0,D
2483.0,F
1361.0,F
2484.0,D
1350.0,C
1351.0,E
1352.0,F
1353.0,D
1072.0,D
2491.0,D
1363.0,B
1354.0,D
1355.0,B
2492.0,D
1076.0,C
1359.0,C
1360.0,C
1075.0,C
3121.0,C
3127.0,C
3128.0,C
1078.0,C
2568.0,C
2570.0,C
3124.0,C
3125.0,C
2575.0,D
1820.0,D
3134.0,D
2562.0,C
2558.0,D
3126.0,C
2567.0,C
2569.0,C
3133.0,C
2563.0,D
2565.0,C
2566.0,C
3137.0,C
1821.0,C
2560.0,D
2561.0,C
3129.0,D
1823.0,C
1824.0,C
2559.0,E
3130.0,C
1822.0,E
3132.0,C
3135.0,C
3119.0,C
3120.0,C
3136.0,E
1023.0,F
1024.0,F
1295.0,F
1473.0,F
1698.0,F
1699.0,F
1700.0,F
1701.0,F
1702.0,F
1703.0,F
1704.0,F
1705.0,F
1718.0,D
1871.0,A
2624.0,A
2625.0,A
1870.0,E
2947.0,B
1717.0,A
2948.0,B
2949.0,A
2651.0,D
1461.0,D
2653.0,D
2654.0,D
1092.0,F
2670.0,E
1152.0,D
2198.0,D
2671.0,F
2672.0,D
2168.0,F
1151.0,D
1462.0,F
2685.0,D
2686.0,E
2687.0,D
2688.0,D
2689.0,D
2696.0,D
2706.0,D
2707.0,D
2708.0,D
2709.0,D
1093.0,D
1094.0,D
2162.0,D
2712.0,D
1189.0,F
2655.0,F
2656.0,F
1190.0,F
1191.0,F
1192.0,F
1188.0,F
28.0,F
1183.0,D
1184.0,F
1167.0,C
1888.0,D
1399.0,D
1475.0,D
3181.0,D
3182.0,D
1400.0,C
1476.0,D
3185.0,D
3186.0,C
3187.0,C
1543.0,D
1548.0,C
2276.0,D
2275.0,D
3189.0,D
1546.0,C
2270.0,C
2272.0,D
1545.0,C
2274.0,D
2271.0,E
2273.0,D
3183.0,E
3184.0,D
3190.0,D
3191.0,D
1547.0,C
3188.0,C
1544.0,E
2673.0,D
2374.0,B
2375.0,B
1781.0,B
1157.0,B
1891.0,C
2719.0,D
2720.0,D
2721.0,F
2174.0,F
2156.0,F
1212.0,F
1213.0,B
1214.0,B
3330.0,A
1910.0,F
2173.0,E
2172.0,E
2175.0,F
2176.0,E
11.0,D
1908.0,F
3312.0,B
1909.0,F
2170.0,F
2171.0,F
1913.0,F
2700.0,F
1315.0,F
2372.0,C
2657.0,D
2660.0,F
2661.0,E
2662.0,D
2663.0,D
2664.0,D
2697.0,F
2698.0,F
2699.0,F
2722.0,F
2723.0,F
1185.0,C
1163.0,C
1187.0,D
1164.0,C
1186.0,F
2764.0,E
38.0,B
1029.0,B
29.0,C
2768.0,D
2769.0,D
2770.0,D
2776.0,C
2766.0,B
2767.0,B
1174.0,C
1785.0,F
1168.0,D
1896.0,D
1091.0,F
1387.0,D
1169.0,D
2765.0,B
2771.0,C
3082.0,B
1178.0,C
1177.0,C
1895.0,C
2777.0,C
2349.0,F
2351.0,F
2763.0,C
1549.0,B
2269.0,D
3175.0,B
3176.0,D
3177.0,E
3178.0,D
3179.0,E
3180.0,C
1343.0,F
1344.0,F
1345.0,F
1346.0,F
1975.0,D
1976.0,D
1979.0,F
1971.0,F
1373.0,B
1374.0,D
1466.0,B
2128.0,B
2129.0,B
2135.0,F
2136.0,F
2137.0,B
2138.0,B
2139.0,B
2140.0,B
2141.0,F
3299.0,F
3300.0,F
3301.0,F
1285.0,B
1286.0,D
1414.0,C
1481.0,B
1714.0,A
1716.0,B
2935.0,C
2936.0,B
2937.0,B
2938.0,C
2939.0,C
2940.0,C
2941.0,B
2942.0,C
2943.0,C
2944.0,F
1342.0,B
1443.0,C
3465.0,B
3466.0,B
2297.0,B
2319.0,B
2286.0,C
2331.0,C
2332.0,C
1154.0,C
20.0,C
21.0,C
3464.0,C
1572.0,C
1573.0,E
2295.0,C
1564.0,B
2287.0,C
1566.0,B
2293.0,B
2337.0,E
2338.0,E
42.0,B
2294.0,F
3460.0,C
3458.0,B
1571.0,C
1155.0,F
3471.0,B
2289.0,C
2301.0,B
2291.0,C
2326.0,C
1569.0,B
2298.0,B
1567.0,C
1568.0,D
2285.0,C
1340.0,C
1384.0,C
3459.0,B
2307.0,C
1339.0,C
2304.0,B
43.0,C
2302.0,B
1570.0,C
1563.0,C
2284.0,B
2288.0,C
1156.0,B
1341.0,C
1565.0,E
17.0,C
18.0,C
1338.0,C
2333.0,C
2334.0,C
2335.0,D
2336.0,C
3468.0,B
2300.0,C
2303.0,C
2290.0,C
2299.0,C
2305.0,C
2296.0,C
2292.0,C
2306.0,C
3473.0,B
1442.0,C
1448.0,B
2352.0,B
3080.0,C
3081.0,C
1444.0,B
2780.0,B
1894.0,C
1892.0,C
2423.0,D
2424.0,E
2425.0,E
2422.0,D
1642.0,D
1643.0,D
1455.0,C
1456.0,C
2426.0,D
2427.0,D
1450.0,B
1159.0,B
1160.0,C
1161.0,C
1162.0,B
1328.0,C
1329.0,E
1330.0,B
3025.0,B
3026.0,C
3027.0,B
3028.0,B
3029.0,B
3023.0,F
3383.0,B
3384.0,B
3380.0,B
1632.0,C
1428.0,F
3369.0,A
3370.0,A
3371.0,B
3375.0,F
3376.0,B
3381.0,B
3382.0,B
3377.0,B
3378.0,B
1631.0,C
3379.0,F
3367.0,F
3368.0,A
3372.0,A
1633.0,C
3353.0,B
3354.0,B
3355.0,A
3356.0,B
3350.0,A
3351.0,A
3352.0,B
3359.0,F
3360.0,F
3361.0,F
3362.0,F
3357.0,B
3358.0,B
3363.0,B
3364.0,F
3365.0,F
1427.0,F
3366.0,B
3373.0,A
3374.0,A
2051.0,B
1403.0,B
1404.0,D
1726.0,E
1150.0,B
1246.0,B
1434.0,D
1149.0,B
1860.0,C
1148.0,B
1862.0,D
1399.0,D
1475.0,C
3181.0,D
3182.0,C
1400.0,D
1476.0,C
3185.0,D
3186.0,D
3187.0,D
1543.0,C
1548.0,E
2276.0,D
2275.0,C
3189.0,D
1546.0,C
2270.0,C
2272.0,C
1545.0,C
2274.0,D
2271.0,D
2273.0,C
3183.0,E
3184.0,C
3190.0,D
3191.0,D
1547.0,C
3188.0,C
1544.0,D
2651.0,D
1461.0,D
2653.0,D
2654.0,D
1092.0,F
2670.0,B
1152.0,D
2198.0,E
2671.0,F
2672.0,D
2168.0,F
2676.0,E
1151.0,D
1462.0,F
2685.0,D
2686.0,D
2687.0,D
2688.0,E
2689.0,D
2199.0,F
2701.0,F
2702.0,F
2703.0,F
2704.0,F
2706.0,D
2707.0,D
2708.0,D
2709.0,D
1094.0,D
2162.0,D
2712.0,D
2164.0,B
2713.0,F
2714.0,B
1342.0,C
1443.0,C
3465.0,C
3466.0,C
2297.0,B
2319.0,B
2286.0,C
2331.0,B
2332.0,B
1154.0,C
20.0,C
21.0,C
3464.0,C
1572.0,B
1573.0,F
2295.0,C
1564.0,C
2287.0,B
1566.0,C
2293.0,C
2337.0,E
2338.0,E
42.0,C
2294.0,F
3460.0,C
3458.0,B
1571.0,B
1155.0,F
3471.0,B
2289.0,B
2301.0,C
2291.0,C
2326.0,C
1569.0,B
2298.0,B
1567.0,F
1568.0,C
2285.0,C
1340.0,C
1384.0,C
3459.0,B
2307.0,B
1339.0,C
2304.0,B
43.0,C
2302.0,B
1570.0,B
1563.0,C
2284.0,C
2288.0,C
1156.0,B
1341.0,C
1565.0,C
17.0,C
18.0,C
1338.0,C
2333.0,C
2334.0,C
2335.0,C
2336.0,C
3468.0,C
2300.0,C
2303.0,C
2290.0,C
2299.0,F
2305.0,B
2296.0,B
2292.0,C
2306.0,B
3473.0,B
1442.0,C
1448.0,B
2352.0,B
3080.0,C
3081.0,C
1444.0,B
2780.0,C
1894.0,B
1892.0,B
2423.0,D
2424.0,F
2425.0,E
2422.0,E
1642.0,F
1643.0,C
1455.0,F
1456.0,F
2426.0,E
2427.0,F
1450.0,B
1159.0,E
1160.0,E
1161.0,F
1162.0,D
1328.0,E
1329.0,E
1330.0,D
3025.0,D
3026.0,E
3027.0,D
3028.0,F
3029.0,F
3023.0,F
1023.0,F
1024.0,F
1295.0,F
1473.0,F
1698.0,F
1699.0,F
1700.0,F
1701.0,F
1702.0,F
1703.0,F
1704.0,F
1705.0,F
1718.0,C
1871.0,A
2624.0,A
2625.0,A
1870.0,D
2947.0,C
1717.0,B
2948.0,B
1719.0,B
2949.0,B
3305.0,B
3383.0,B
3384.0,B
3380.0,B
1632.0,B
1428.0,F
3369.0,A
3370.0,A
3371.0,A
3372.0,A
3373.0,A
3374.0,B
3375.0,F
3376.0,F
3381.0,A
3382.0,B
3377.0,A
3378.0,A
1631.0,C
3379.0,F
3367.0,F
3368.0,A
1633.0,B
3353.0,B
3354.0,B
3355.0,A
3356.0,B
3350.0,A
3351.0,B
3352.0,A
3359.0,F
3360.0,F
3361.0,F
3362.0,F
3357.0,B
3358.0,B
3363.0,B
3364.0,F
3365.0,F
1427.0,F
3366.0,B
1403.0,B
1404.0,D
1726.0,E
1393.0,F
1150.0,A
1865.0,D
1434.0,E
1980.0,F
1149.0,E
1399.0,B
1475.0,C
3181.0,D
3182.0,C
1400.0,D
1476.0,D
3185.0,C
3186.0,C
3187.0,D
1543.0,C
1548.0,C
2276.0,E
2275.0,C
3189.0,C
1546.0,C
2270.0,C
2272.0,C
1545.0,C
2274.0,D
2271.0,C
2273.0,C
3183.0,E
3184.0,C
3190.0,C
3191.0,C
1547.0,C
3188.0,C
1544.0,E
2651.0,D
1461.0,D
2653.0,D
2654.0,D
1092.0,F
2670.0,F
1152.0,D
2198.0,D
2671.0,F
2672.0,D
2168.0,F
2676.0,B
1151.0,D
1462.0,B
2685.0,E
2686.0,D
2687.0,D
2688.0,D
2689.0,B
2696.0,B
2199.0,F
2701.0,B
2702.0,D
2703.0,F
2704.0,F
2706.0,D
2707.0,D
2708.0,B
2709.0,D
1093.0,D
1094.0,D
2162.0,B
2712.0,D
2164.0,B
2713.0,B
2714.0,B
1342.0,C
1443.0,C
3465.0,C
3466.0,C
2297.0,C
2319.0,C
2286.0,C
2331.0,C
2332.0,C
1154.0,C
20.0,C
21.0,C
3464.0,C
1572.0,B
1573.0,E
2295.0,C
1564.0,C
2287.0,C
1566.0,C
2293.0,C
2337.0,E
2338.0,E
42.0,C
2294.0,F
3460.0,C
3458.0,B
1571.0,B
1155.0,F
3471.0,C
2289.0,B
2301.0,B
2291.0,B
2326.0,C
1569.0,C
2298.0,C
1567.0,B
1568.0,C
2285.0,C
1340.0,C
1384.0,C
3459.0,B
2307.0,B
1339.0,C
2304.0,B
43.0,C
2302.0,B
1570.0,B
1563.0,C
2284.0,C
2288.0,C
1156.0,B
1341.0,C
1565.0,C
17.0,C
18.0,C
1338.0,C
2333.0,C
2334.0,C
2335.0,C
2336.0,C
3468.0,C
2300.0,C
2303.0,C
2290.0,C
2299.0,C
2305.0,B
2296.0,B
2292.0,C
2306.0,B
3473.0,C
1442.0,C
1448.0,B
2352.0,B
3080.0,C
3081.0,C
1444.0,B
2780.0,C
1894.0,B
1892.0,B
2423.0,D
2424.0,D
2425.0,E
2422.0,C
1642.0,D
1643.0,E
1455.0,C
1456.0,C
2426.0,C
2427.0,C
1685.0,F
2444.0,F
2442.0,F
2443.0,F
2445.0,F
1450.0,C
1159.0,B
1160.0,B
1161.0,D
1162.0,B
1328.0,B
1329.0,B
1330.0,D
3025.0,B
3026.0,B
3027.0,D
3028.0,D
3029.0,D
3023.0,F
1885.0,F
1023.0,F
1024.0,F
1295.0,F
1473.0,F
1698.0,F
1699.0,F
1700.0,F
1701.0,F
1702.0,F
1703.0,F
1704.0,F
1705.0,F
1025.0,F
1026.0,F
1887.0,F
1718.0,C
1871.0,A
2624.0,A
2625.0,A
1884.0,F
1870.0,F
2947.0,A
1717.0,B
2948.0,A
2949.0,B
3305.0,B
3383.0,B
3384.0,B
3380.0,B
1632.0,B
1428.0,F
3369.0,A
3370.0,A
3371.0,A
3375.0,F
3376.0,C
3381.0,A
3382.0,B
3377.0,A
3378.0,A
1631.0,C
3379.0,C
3367.0,C
3368.0,A
3372.0,A
1633.0,B
3353.0,A
3354.0,A
3355.0,A
3356.0,A
3350.0,A
3351.0,A
3352.0,A
3359.0,F
3360.0,F
3361.0,F
3362.0,F
3357.0,A
3358.0,A
3363.0,A
3364.0,F
3365.0,F
1427.0,F
3366.0,B
3373.0,A
3374.0,A
2050.0,B
2051.0,B
2052.0,C
2053.0,C
1403.0,B
1404.0,D
1726.0,D
2460.0,F
1150.0,A
1246.0,F
1860.0,C
1861.0,D
1862.0,D
1865.0,D
1148.0,F
1435.0,E
1149.0,E
1438.0,D
1399.0,C
1475.0,B
1400.0,C
1476.0,B
1543.0,C
1548.0,F
2276.0,C
2275.0,C
1546.0,F
2270.0,C
2272.0,C
1545.0,F
2274.0,F
2271.0,C
2273.0,C
1547.0,C
1544.0,F
2651.0,D
2653.0,D
2654.0,D
1092.0,F
2670.0,F
1152.0,D
2198.0,D
2671.0,F
2672.0,D
2168.0,F
2676.0,B
1151.0,D
1462.0,D
2685.0,F
2686.0,D
2687.0,D
2688.0,D
2689.0,D
2696.0,D
2199.0,F
2701.0,B
2702.0,B
2703.0,B
2704.0,F
2706.0,D
2707.0,D
2708.0,D
2709.0,D
1093.0,D
1094.0,D
2162.0,D
2712.0,D
2164.0,B
2713.0,B
2714.0,B
1342.0,C
1443.0,B
2297.0,C
2319.0,C
2286.0,C
2331.0,C
2332.0,C
1154.0,C
20.0,C
21.0,C
1572.0,C
1573.0,F
2295.0,C
1564.0,C
2287.0,C
1566.0,B
2293.0,C
2337.0,E
2338.0,E
42.0,C
2294.0,C
1571.0,C
1155.0,E
2289.0,C
2301.0,B
2291.0,C
2326.0,C
1569.0,C
2298.0,B
1567.0,B
1568.0,B
2285.0,C
1340.0,C
1384.0,C
2307.0,C
1339.0,C
2304.0,C
43.0,C
2302.0,B
1570.0,C
1563.0,C
2284.0,C
2288.0,C
1156.0,C
1341.0,C
1565.0,C
17.0,C
18.0,C
1338.0,C
2333.0,C
2334.0,C
2335.0,C
2336.0,C
2300.0,B
2303.0,C
2290.0,C
2299.0,C
2305.0,C
2296.0,C
2292.0,C
2306.0,C
1442.0,C
1448.0,C
2352.0,B
1444.0,B
2780.0,C
1894.0,B
1892.0,B
2423.0,D
2424.0,D
2425.0,C
2422.0,C
1642.0,E
1643.0,D
1455.0,C
1456.0,C
2426.0,C
2427.0,C
1450.0,C
1023.0,F
1024.0,F
1295.0,F
1473.0,F
1698.0,F
1699.0,F
1700.0,F
1701.0,F
1702.0,F
1703.0,F
1704.0,F
1705.0,F
1718.0,D
1719.0,B
1871.0,A
2624.0,A
2625.0,A
1870.0,D
2948.0,B
1632.0,B
1428.0,F
1631.0,C
1633.0,B
1427.0,D
2050.0,A
2051.0,A
2052.0,A
2053.0,A
1404.0,D
1726.0,D
2459.0,F
1860.0,D
1861.0,D
1862.0,D
1865.0,D
1148.0,D
1438.0,E
1633.0,B
1404.0,D
1726.0,D
